unlocode,country,location_code,name,name_ascii,subdivision,latitude,longitude
CLCCP,CL,CCP,Concepción,Concepcion,BI,-36.81666666666667,-73.05
CLCDV,CL,CDV,Curaco de Vélez,Curaco de Velez,LL,-42.43333333333333,-73.56666666666666
CLCGR,CL,CGR,Cruz Grande,Cruz Grande,CO,-29.45,-71.3
CLCHB,CL,CHB,Chacabuco,Chacabuco,AI,-45.483333333333334,-72.81666666666666
CLCHI,CL,CHI,Chiguayante,Chiguayante,BI,-36.916666666666664,-73.01666666666667
CLCHO,CL,CHO,Chonchi,Chonchi,LL,-42.6,-73.8
CLCHR,CL,CHR,Cabo de Hornos,Cabo de Hornos,MA,-55.96666666666667,-67.2
CLCIS,CL,CIS,Puerto Cisnes,Puerto Cisnes,AI,-44.733333333333334,-72.7
CLCLD,CL,CLD,Caldera,Caldera,AT,-27.033333333333335,-70.8
CLCLR,CL,CLR,Caleta Clarencia,Caleta Clarencia,MA,-52.88333333333333,-70.1
CLCNL,CL,CNL,Coronel,Coronel,BI,-37.016666666666666,-73.15
CLCNR,CL,CNR,Chañaral,Chanaral,AT,-26.35,-70.61666666666666
CLCNX,CL,CNX,Cabo Negro,Cabo Negro,MA,-52.96666666666667,-70.85
CLCOL,CL,COL,Caleta Coloso,Caleta Coloso,AN,-23.75,-70.46666666666667
CLCPO,CL,CPO,Copiapó,Copiapo,AT,-27.35,-70.33333333333333
CLCQQ,CL,CQQ,Coquimbo,Coquimbo,CO,-29.966666666666665,-71.33333333333333
CLCRH,CL,CRH,Carahue,Carahue,LL,-43.0,-73.55
CLCRR,CL,CRR,Corral,Corral,LL,-39.86666666666667,-73.43333333333334
CLCST,CL,CST,Constitución,Constitucion,ML,-35.333333333333336,-72.41666666666667
CLDCH,CL,DCH,Dalcahue,Dalcahue,LL,-42.38333333333333,-73.66666666666667
CLEDE,CL,EDE,Puerto Edén,Puerto Eden,MA,-49.15,-74.45
CLGUA,CL,GUA,Guaitecas,Guaitecas,AI,-43.733333333333334,-73.9
CLGYC,CL,GYC,Guayacán,Guayacan,CO,-29.983333333333334,-71.36666666666666
CLHSO,CL,HSO,Huasco,Huasco,AT,-28.45,-71.21666666666667
CLHUH,CL,HUH,Hualaihué,Hualaihue,LL,-42.016666666666666,-72.68333333333334
CLIPC,CL,IPC,Isla de Pascua,Isla de Pascua,VS,-27.15,-109.41666666666667
CLIQQ,CL,IQQ,Iquique,Iquique,TA,-20.216666666666665,-70.13333333333334
CLISG,CL,ISG,Isla Guarello,Isla Guarello,MA,-52.666666666666664,-73.68333333333334
CLJFZ,CL,JFZ,Juan Fernández,Juan Fernandez,VS,-33.666666666666664,-79.78333333333333
CLKNA,CL,KNA,Viña del Mar,Vina del Mar,VS,-32.983333333333334,-71.55
CLLEB,CL,LEB,Lebu,Lebu,BI,-37.6,-73.65
CLLIA,CL,LIA,Llanquihue,Llanquihue,LL,-41.25,-73.0
CLLLI,CL,LLI,Llico,Llico,BI,-37.2,-73.56666666666666
CLLOH,CL,LOH,Paso Lago O'Higgins/O'Higgins,Paso Lago O'Higgins/O'Higgins,AI,-48.86666666666667,-72.66666666666667
CLLOS,CL,LOS,Los Vilos,Los Vilos,CO,-31.9,-71.5
CLLQN,CL,LQN,Lirquén,Lirquen,BI,-36.7,-72.98333333333333
CLLSC,CL,LSC,La Serena,La Serena,CO,-29.883333333333333,-71.23333333333333
CLLTA,CL,LTA,Lota,Lota,BI,-37.083333333333336,-73.15
CLLVT,CL,LVT,Los Vientos,Los Vientos,AN,-24.683333333333334,-69.76666666666667
CLMIC,CL,MIC,Michilla,Michilla,AN,-22.733333333333334,-70.26666666666667
CLMJS,CL,MJS,Mejillones,Mejillones,AN,-23.1,-70.45
CLMLI,CL,MLI,Melinka,Melinka,LL,-43.86666666666667,-73.75
CLMLL,CL,MLL,Maullín,Maullin,LL,-41.61666666666667,-73.58333333333333
CLNAL,CL,NAL,Nueva Aldea,Nueva Aldea,BI,-36.65,-72.45
CLOHI,CL,OHI,O'Higgins,O'Higgins,AI,-48.46666666666667,-72.56666666666666
CLOVL,CL,OVL,Ovalle,Ovalle,CO,-30.583333333333332,-71.2
CLPAG,CL,PAG,Puerto Angamos,Puerto Angamos,AN,-23.083333333333332,-70.45
CLPAN,CL,PAN,Panguipulli,Panguipulli,LL,-39.63333333333333,-72.33333333333333
CLPAT,CL,PAT,Puerto Patache,Puerto Patache,TA,-20.8,-70.2
CLPCH,CL,PCH,Puerto Chacabuco,Puerto Chacabuco,AI,-45.483333333333334,-72.83333333333333
CLPCK,CL,PCK,Pecket,Pecket,MA,-52.95,-71.18333333333334
CLPEO,CL,PEO,Penco,Penco,BI,-36.71666666666667,-72.98333333333333
CLPGA,CL,PGA,Pargua,Pargua,LL,-41.8,-73.43333333333334
CLPIS,CL,PIS,Pisagua,Pisagua,TA,-19.6,-70.2
CLPMC,CL,PMC,Puerto Montt,Puerto Montt,LL,-41.46666666666667,-72.95
CLPNT,CL,PNT,Puerto Natales,Puerto Natales,MA,-51.71666666666667,-72.5
